Référence;Désignation;Famille;Type;Fournisseur;Utilisateur;Code barre;N° série;Informations;Site;Date de livraison
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;MB2;;16687;;Fauteuil ergonomique de marque SPIRIT têtière, accoudoirs 4D, support lombaire  Siège pour Myriam FERDENZI suite à préconisation du médecin du travail.;25\BESANCON\Siege\VIOTTE\4eme etage\417;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;16953;;Fauteuil ergonomique Haut dossier vertébral réglable tout tapissé avec têtière cervicalgie Mecanique synchron plus Renfort lombaire gonflable  Assise coccyxiale Accoudoirs réglables 4D Piètement 5 branches sur roulettes Avec amortisseur d'assise Coloris Duo Panthère M1;25\BESANCON\Siege\VIOTTE\1er etage\105;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;16954;;Plan droit 1600x800 télescopique réglable en hauteur avec 2 moteurs, boitier de commande réglable avec 3 positions mémorisables Chêne de fil/Anthracite support écran et tapis anti-fatigue.;25\BESANCON\Siege\VIOTTE\1er etage\105;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;16956;;Fauteuil ergonomique Haut dossier résille 3D Assise tapissée déclipsable avec translation intégrée Mécanique synchron plus Avec renfort réglable 4D soft Piètement 5 branches sur roulette diam 65 mm Tissu M1 DUO/ATLANTIC Noir;25\BESANCON\Siege\VIOTTE\3eme etage\318;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;18571;;Fauteuil de travail ergonomique;25\BESANCON\Siege\VIOTTE\4eme etage\414;
POWERHEARTG5, Défibrillateur PowerHeart G5 Automatique;Défibrillateur PowerHeart G5 Automatique;Sécurité;Défibrillateur;Dumont Sécurité;;20816;D00000187439;"Défibrillateur automatique POWERHEARTH G5 avec électrode adultes et pédiatriques, armoire AVIA et kit de 5 panneaux de signalisation DAE 

1/7";25\BESANCON\Siege\VIOTTE\rdc;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21073;;"Bureau droit réglable en hauteur
L 160 x P 80 x H 64 à 86 cm
Plateau mélaminé ép. 25 mm
Coloris Chêne de Fil
Voile de fond mélaminé inclus
Piétement à dégagement latéral en
métal
Coloris noir
2 obturateurs Ø 80 mm inclus

Voile de fond suspendu
Pour plan L 160 cm
En mélaminé ép. 16 mm x H 30 cm
Coloris Chêne de Fil
Equerres métal finition blanc";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
PDROIT1600P8, Plan droit L1600 P8 ;Plan droit L1600 P8 ;Mobilier de bureau;Plan droit;EquipBuro;;21075;;"Bureau droit réglable en hauteur
L 160 x P 80 x H 64 à 86 cm
Plateau mélaminé ép. 25 mm
Coloris Chêne de Fil
Voile de fond mélaminé inclus
Piétement à dégagement latéral en
métal
Coloris noir
2 obturateurs Ø 80 mm inclus

Voile de fond suspendu
Pour plan L 160 cm
En mélaminé ép. 16 mm x H 30 cm
Coloris Chêne de Fil
Equerres métal finition blanc";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21092;;"Siège opératif ergonomique
Dossier haut vertébrale réglable
tapissé
Têtière spéciale cervicalgie
Renfort lombaire gonflable par
poire
Assise coccixiale tapissée
déclipsable
Translation d'assise intégrée
Mécanique Synchrone Plus
Accoudoirs 4D Soft
Colonne avec amortisseur d'assise
Piétement noir 5 branches roulettes
ø 50 sol dur
Revêtement tapissé non-feu M1
coloris au choix
Fabriqué en France";25\BESANCON\Siege\VIOTTE\4eme etage\416;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21164;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\603;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21165;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\621;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21166;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\621;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21167;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\621;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21168;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\620;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21169;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\620;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21170;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\620;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21171;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\620;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21172;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\619;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21173;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\619;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21174;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\129;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21175;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\128;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21176;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\128;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21177;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\127;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21178;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\127;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21179;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\127;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21180;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\126;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21181;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\126;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21182;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\124;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21183;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\124;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21184;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\124;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21185;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\1er etage\123;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21186;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\617;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21187;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\617;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21188;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\617;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21189;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\617;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21190;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\617;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21191;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\615;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21192;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\615;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21193;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\615;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21194;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\614;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21195;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\614;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21196;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\613;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21197;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\613;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21198;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\613;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21199;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\612;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21200;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\612;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21201;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\612;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21202;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\611;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21203;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\611;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21204;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\610;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21205;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\610;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21206;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\610;
FAUTDACTYOPE, Fauteuil dactylo opérateur;Fauteuil dactylo opérateur;Mobilier de bureau;Fauteuil.;EquipBuro;;21207;;"Siège opératif
Dossier résille noire
Renfort lombaire réglable
Assise tapissée
Translation d'assise
Mécanique Synchrone auto-régulée
Dynaflex
Accoudoirs 3D Soft noir
Piétement noir 5 branches roulettes
ø 50 sol textile
Revêtement B-DUO-Panthère
Réf de base : EUKC21G4
Fabriqué en France
NF Environnement | Office
Excellence Certifié";25\BESANCON\Siege\VIOTTE\6eme etage\609;
